"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"7730","217046_s_at",-4.52238130678379,-1.03857980150098,-36.5628981468514,3.99938237803164e-38,2.1866623151888e-33,75.1669673903716,"AGER","advanced glycosylation end-product specific receptor"
"4300","207302_at",-2.83042521900784,-0.27290546200063,-27.9468297592548,1.76098142513978e-32,4.81408297097588e-28,63.2010961196012,"SGCG","sarcoglycan gamma"
"5258","209793_at",-3.09233015792372,-0.305617682798747,-27.2130687997168,6.2524138320545e-32,1.13950242089193e-27,62.0058408034875,"GRIA1","glutamate ionotropic receptor AMPA type subunit 1"
"11836","227929_at",-3.1586404261141,-0.310755464234805,-25.3102234955872,1.93080522403385e-30,2.63916939060127e-26,58.7495207241882,"LIN7A","lin-7 cell polarity scaffold A"
"2630","203435_s_at",-2.91022182848862,-0.226990346610698,-24.2647431474023,1.39846070714255e-29,1.52921678326038e-25,56.8571573460262,"MME","membrane metalloendopeptidase"
"15026","241672_at",-3.33954560084304,0.29345629983572,-23.9700559391429,2.47571048896121e-29,2.2559911830659e-25,56.3096855657915,"SERTM1","serine rich and transmembrane domain containing 1"
"7485","215918_s_at",-2.9006975049416,-0.283600987918475,-23.481859957399,6.46144443226529e-29,4.41599342917631e-25,55.3885946777425,"SPTBN1","spectrin beta, non-erythrocytic 1"
"13864","235642_at",-2.43827624658331,0.248906913694863,-23.5261316843623,5.91902772484552e-29,4.41599342917631e-25,55.472859753605,"ADRA1A","adrenoceptor alpha 1A"
"2241","202524_s_at",-2.83818940156571,0.102340723704794,-23.3593058466067,8.24242348610419e-29,4.89576807955793e-25,55.1545544300719,"SPOCK2","SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2"
"12495","229641_at",-3.52553033421972,-0.676470955779689,-23.3177238804099,8.95430833023856e-29,4.89576807955793e-25,55.0748858372409,"CCBE1","collagen and calcium binding EGF domains 1"
"632","1556579_s_at",-3.74901509479487,-0.600254617291546,-22.9590609248573,1.83901476126578e-28,9.14073927929151e-25,54.38218376589,"MED12L","mediator complex subunit 12L"
"633","1556579_s_at",-3.74901509479487,-0.600254617291546,-22.9590609248573,1.83901476126578e-28,9.14073927929151e-25,54.38218376589,"IGSF10","immunoglobulin superfamily member 10"
"14277","237390_at",-2.86306549232178,-0.107972156207004,-22.6117123707206,3.72525788189494e-28,1.69732062243838e-24,53.7017535490468,"ADRA1A","adrenoceptor alpha 1A"
"3677","205637_s_at",-2.08675387431491,-0.153449201051587,-21.9273423104183,1.53702856495851e-27,4.94335510524157e-24,52.3327610317807,"SH3GL3","SH3 domain containing GRB2 like 3, endophilin A3"
"3950","206209_s_at",-4.67003290891262,0.627635441807578,-22.0483192809225,1.19328239850042e-27,4.94335510524157e-24,52.5775477041296,"CA4","carbonic anhydrase 4"
"5098","209469_at",-4.37119949580122,-0.972942818464652,-21.9273800090403,1.53690705098911e-27,4.94335510524157e-24,52.3328375008348,"GPM6A","glycoprotein M6A"
"5393","210081_at",-5.56954995880217,-0.370614918928471,-22.0032188653913,1.31120628470284e-27,4.94335510524157e-24,52.4864325284865,"AGER","advanced glycosylation end-product specific receptor"
"14743","239650_at",-3.8699007179745,-0.165660749161003,-21.9636033453125,1.42455020596385e-27,4.94335510524157e-24,52.4062594738733,"NCKAP5","NCK associated protein 5"
"12766","230469_at",-4.137419058038,0.32379766006528,-21.8447848282932,1.82805880848181e-27,5.55272863076349e-24,52.1650149248001,"RTKN2","rhotekin 2"
"7764","217177_s_at",-2.6439801903334,-0.178999326380183,-21.6117843069424,2.9907722669434e-27,8.60634072079633e-24,51.6885067840855,"PTPRB","protein tyrosine phosphatase receptor type B"
